Course	Room	Teacher	Time	Students
4865	19	31373	27	1088365 3577741 3797752 3561001 3581080 3581907 3576753 3581149
8778	19	3896858	28	3797717 3910483 3668944 3668988 3510665 3788983 3691962 3709927 3483640
15245	19	3839981	29	3510665 3578861 3692786 3694791 3578781 3691925
13160	19	31632	32	3466011 3582182 3578963 3666175 3668386 3650256 3608602
7032	17	31573	39	3797843 3578714 3572330 3797696 3666520 3635012 3819232 3651585 3820378 3693501 3692849
6860	19	3818519	37	3694431 3694903 3690719 3792350 3578252
1899	29	3459335	43	3462817 3474620 3486852 3481690 3692269 3483298 3483587 3481943 3457988
6588	19	31399	63	3462990 3650636 3461517 3430697 3486844 3480810 3485053 3483996 3482198 3476899
1774	19	3474420	47	3576543 3483036 3438999 3487310 3576499 3559900 3600785 3447322 3475327 3668917
3508	19	24092	48	3479804 3547282 3539996 3578443 3561001 3581171 3575769 3502893
13167	19	58557	71	323619 3668978 3694798 3667821 3818686 3579291 3693856 3699561 3819332 3576522
11296	24	468281	68	3617170 3575581 3797679 3797758 3635012 3797764
2465	20	3839983	1	3484763 3480166 3576343 3668972 3546417 3540705 3483003 3505185 3668923 3540190
14969	16	3448653	17	3576485 3576558 3797671 3475941 3576364 3669008 3485054 3476864 3505185 3462019
7041	17	162976	3	3668775 3487040 3576405 3560649 3483925 3578707 3478691 3483085 3576306 3581995
7087	22	31573	13	3668919 3668768 3692372 3451724 3581207 3691361 3694318
11319	26	3393853	23	3668950 3486475 3581207 3486571 3574543 3485327 3485727 3581995
1164	22	3646621	27	1160238 3560858 3451331 3797687 3483511 3559963 3820745 3516442 3486379
7882	24	470839	28	3797833 3580671 3797679 3797764 3497948 3492423
1206	22	254151	29	3575735 3467983 3676089 3797782 3540124 3525604 3692756
14979	24	3392421	32	3484314 3910729 3576260 3599497 3540428 3577682
15251	23	409737	39	3606293 3560308 3575071 3579092 3668970 3482194 3689919 3568636 3580389
5272	22	1137952	37	3576385 3559857 3580269 3579723 3576420 3580912 3480423
15014	46	219846	43	3576520 3797801 3565637 3576429 3691834 3821048 3486617 3821571 3694797
6534	22	916272	63	3910493 3648550 3572330 3910605 3589576 3577109 3632881 3668812
2178	23	180723	47	3466364 3480710 3481419 3477824 3582040 3574543 3487087 3581605
15248	22	3786642	48	3669013 3693368 3486834 3473086 3485548 3481643 3462019 3475298
13659	23	254151	71	3576518 3797593 3797747 3656490 3695784 3669069 3464306
10966	19	775640	68	3668840 3910549 3797773 3480668 3797839 3821197
6555	23	916272	1	3669022 3668759 3650636 3485053 3579094 3797839 3482198
11309	20	180723	17	3483036 3619718 3797752 3667749 3689402 3597302 3692294 3482019
15239	22	3839983	3	3397840 3559970 3485170 3546417 3505185 3668923 3540190 3580389
4072	25	31578	13	3485290 3438999 3576571 3480939 3478297
2396	19	20988	23	3577741 3512896 3668623 3533093 3691514 3668827 3580389 3668895
10842	24	1168490	27	3559591 3581227 3463439 3560373 3581171 3559624
11308	23	180723	28	3797834 3797840 3463199 3559804 3578707 3695529 3638956 3581596
13161	24	31632	29	3910503 3591436 3817048 3577741 3598090 3533093
6562	23	31573	32	3576400 3576011 3668768 3667608 3506324 3480810 3576359
1747	24	3896859	39	3820974 3677885 3699593 3816203 3716357 3796254
7404	24	987494	37	3576583 3581250 3576376 3576513 3479976 3576464
5162	15	31582	43	3580671 3668850 3789070 3820395 3790825 3608602 3717144
6874	29	1167884	63	3482288 3558543 3693921 3579094 3493704 3690719 3460338
15011	24	138190	47	3559963 3474409 3575266 3797764 3820729 3788897
4020	25	3646540	48	3576435 3797654 3683644 3652373 3481607 3597365 3598090
4281	24	3092832	71	3458061 3491953 3651439 3694810 3576623 3627845
11075	23	3899727	68	3460586 3692440 3817668 3820745 3481203 3464327 3497993
8811	25	576472	1	3520989 3576470 3559225 3576260 3510665 3466962 3699561
2875	24	31582	17	3576630 3483306 3560193 3574967 3652177 3467932
1750	24	622960	3	3485812 3821116 3820974 3475327 3488858 3819372
12339	26	3420576	13	3478747 3486501 3695022
11987	30	3764403	23	3606418 3797532 3789315 3668386 3612427
5154	26	1020104	27	3821059 3693921 3655428 3577054 3691228 3817962 3819304
2464	26	493725	28	3478050 3668868 3561772 3565637 3464398 3576231 3540190
5176	26	3819183	29	3797733 3462237 3818805 3464398 3816708 3816832
13924	26	3571236	32	3695281 3796926 3820587 3576763 3693501
4810	25	1051497	39	3910691 3821004 3820010 3579361 3559149 3797429 3519726
11050	26	897399	37	3576379 3576440 3540428 3695784 3693856 3576037 3542887
10860	34	3461209	43	3467040 3668794 3668799 3487732 3576879 3576212
1474	25	3098022	63	3576313 3463560 3485361 3448314 3446353 3540662
1871	29	1167863	47	3485550 3430298 3481813
13147	26	3332662	48	3668989 3768686 3516442 3692609
1860	29	123161	71	3472549 3576319 3482101 3559963 3591211
6045	29	31526	68	3484990 3561280 3482288
4051	28	3646540	1	3797880 3455908 3668832 3484272 3576535 3478297
15250	27	3899727	17	3451168 3485548 3481943 3638301 3576522 3575483
7904	26	431946	3	3619718 3497948 3561026 3581249 3578392
12334	28	31388	13	3461498 3560858 3451331 3561772 3484898 3574866
1443	23	853792	23	3910611 3576546 3580991
6054	29	31526	27	3479718 3581077 3481643 3820032 3578921 3789055
6519	28	31478	28	3482101 3629970 3581996 3462019 3483996 3484324
5727	30	3648007	29	3690789 3693230 3797653 3574563 3577682 3691694
5228	28	3448653	32	3486787 3690516 3465327 3692285 3695542
7903	27	468281	39	3668997 3711797 3474409 3669033
4838	28	697660	37	3481518 3797644 3638956
5210	17	493856	43	3667381 3576753 3483950 3561516 3667677 3816722
1752	27	3896859	63	3462240 3469615 3465591 3531305 3596492 3820970
5137	26	3900232	47	3666520 3612623 3464396 3493764 3821588
12354	46	31756	48	3910508 3910707 3668765 3910674 3460343 3668895
13162	26	31632	71	3668818 3581907 3796964 3485628 3467932 3481664
6553	26	31478	68	3576344 3669051 3694798 3462990 3576306 3540662
4377	31	847593	1	3464666 3576360 3576626 3668881 3561026
13641	26	893542	17	3455908 3559537 3597215 3480728
4738	30	3764403	3	3668795 3483306 3650736 3650997 3666175
13146	30	3332662	13	3797697 3484750 3574873 3668880 3797604
10949	27	897399	23	3511123 3540124 3634695 3561318 3476899
3033	30	492580	27	3576445 3650636 3581980 3556970 3486617
2409	30	3839983	28	3591436 3821162 3818675 3483950 3797849
1429	31	20093	29	3606418 3650736 3650997 3695282 3668386
13439	31	468281	32	3668955 3820397 3483567 3789070 3615055
4036	30	3460456	39	3668851 3692536 3668974 3705083 3629467
13783	36	3555100	37	3669280 3480937 3484619
12734	24	910346	43	3525384 3476085 3668752 3668917 3712888
15006	30	3818518	47	3668944 3668988 3466962 3540190
7888	28	431946	63	3692852 3797631 3797770 3560649 3576212
2398	29	3839981	48	3576426 3576339 3690346 3578191 3475933
13925	30	3571236	71	3797699 3797749 3694791 3695542
3500	27	3194193	68	3910740 3768555 3580991 3692756 3692766
1552	46	129398	1	3576474 3432357 3575483 3460343 3694101
9321	29	138190	17	3768034 3819676 3579116 3519726 3542887
13645	27	493725	3	3576447 3693185 3818771 3476864 3650578
2403	32	1137952	13	3476908 3694810 3790244
1893	31	898918	23	3576411 3480732 3485548 3486379
9296	32	897706	27	3668956 3578036 3581469
14548	34	428815	28	3608602 3769368
7926	33	470839	29	3576471 3576463 3476085 3452445
15247	36	470839	32	3480401 3476085 3668752 3668917
6582	31	3792642	39	3577109 3818770 3482198
11307	31	3898367	37	3514095 3668845 3578036 3709927
12837	26	467822	43	3481202 3519726 3655749
5224	31	3900232	63	3430527 3437011 3578714 3612203
12352	46	129398	47	3669000 3576331 3910622 3819372
3031	30	375562	48	3486569 3433686
13616	32	375562	71	3576452 3576490 3560770
5282	31	493856	68	3486782 3485628
13915	32	1168490	1	3452445 3484894 3463439
5734	31	3556752	17	3447306 3576324 3561001
10851	32	409737	3	3560770 3639772 3797819
5198	34	853792	27	3797586 3463560 3486623
14987	34	1020104	13	3910542 3581981 3667677
3450	33	599596	23	3851907 3819628 3480423
11198	33	912484	28	3910744 3820970 3694039
4394	38	138190	29	3445680 3575483
1563	46	31756	32	3479712 3483557
13059	38	3212821	39	3481075 3480791
1158	34	1020104	37	3559815 3576306
2182	37	1167863	43	3582040 3487087
12099	33	20093	63	3797532 3694741
1182	32	493725	47	3580259 3581830
7923	33	821481	48	3797770 3667319
2379	35	802802	71	3485054 3668972
15013	38	827051	68	3821554 3818064
15260	69	32205	1	3690482
9233	34	29475	17	1088365 3668972
2448	34	31373	3	3579949 3533093
15015	46	219846	27	3505134 3668538
5191	35	1137952	23	3582017 3581247
12353	46	683480	13	3576331 3576474
2401	35	3332662	28	3576396 3797744
1559	46	31756	29	3668765 3668895
12355	57	31332	32	3797855 3668895
4362	39	989327	39	3692372 3693581
12503	37	853792	37	3694481 3797829
1837	41	3452118	43	3105802
12839	38	3555100	63	3481944
10968	38	3571236	47	3481643
4872	34	138190	48	3621523
12431	37	847593	71	3559970
3407	33	845898	68
3465	27	599596	1	3699536
15308	38	3839983	17	3569865
2663	36	31478	3	3606290
15005	38	3818518	27	3676165
8450	37	493725	23	3514095
1751	36	912484	13
4372	38	138190	28	3578488
5741	42	3556752	29	3580159
12813	39	847593	32	3693612
13648	69	605187	39	3576486
13342	38	493725	37	3603544
2420	35	1061861	63	3669008
8470	35	1061861	47	3797676
5723	28	3648007	43	3576430 3576480 3910510 3910580 3910588 3910590 3910617 3910646 3910653 3910659 3910718 3870878 3910698
8764	32	428728	29	3481075 3820257 3561280 3819433 3693185 3764422 3476927 3635008 3699593 3817637 3817682 3816463 3669069 3768088 3815949 3797429 3797206 3819628 3821048 3699536 3820030 3717137 3819645
4356	38	847593	3	3479382 3485642 3691748 3821886 3447322 3816860 3608602 3820378 3820965 3615055 3781152 3821006
5846	38	31582	71	3478964 3635012 3653119 3768339 3651585
4010	33	3442425	17	3821195 3821359 3910677 3609410 3710476 3820992 3768620 3796974 3692628 3820479 3580714 3821273 3486653 3704166 3816960 3819177
7878	30	470839	43	3910489 3683644 3711797 3474409 3574563 3576586 3797710 3817177 3820958 3821088 3690361 3796254 3612203 3820768
5120	42	3400071	32	3485848 3797677 3451724 3821004 3695024 3708638 3693084 3822535
